;Lo.94;Lo.95;Lo.99;Point.Forecast;Hi.94;Hi.95;Hi.99
201;-8.523504656;-8.607692254;-9.262586479;-6.523520514;-4.523536373;-4.439348774;-3.78445455
202;-9.438893538;-9.58197241;-10.69498107;-6.03987185;-2.640850162;-2.49777129;-1.384762629
203;-9.620376511;-9.806456286;-11.25396841;-5.199813327;-0.779250143;-0.593170368;0.854341759
204;-9.392529766;-9.607936977;-11.28358685;-4.275255795;0.842018175;1.057425387;2.733075257
205;-8.973811395;-9.20826976;-11.0321183;-3.403952891;2.165905613;2.400363978;4.224212522
206;-8.498613854;-8.744975108;-10.66141607;-2.645986993;3.206639869;3.453001122;5.369442083
207;-8.041961322;-8.295515406;-10.2679093;-2.018459566;4.00504219;4.258596274;6.230990169
208;-7.64007243;-7.89784652;-9.903067783;-1.516319043;4.607434344;4.865208434;6.870429697
209;-7.305523827;-7.565708804;-9.589684323;-1.124496739;5.056530349;5.316715326;7.340690845
210;-7.037654968;-7.299184506;-9.333619356;-0.824686088;5.388282791;5.64981233;7.684247179
211;-6.829288707;-7.091551881;-9.13169367;-0.598891382;5.631505942;5.893769116;7.933910905
212;-6.670801709;-6.933457268;-8.976651414;-0.43108278;5.80863615;6.071291709;8.114485854
213;-6.552398387;-6.815260008;-8.860057111;-0.30778418;5.936830028;6.199691649;8.244488752
214;-6.465236495;-6.728204518;-8.773829318;-0.218094579;6.029047336;6.292015359;8.337640159
215;-6.401864779;-6.664886885;-8.710932395;-0.153438056;6.094988668;6.358010774;8.404056284
216;-6.356280209;-6.619329399;-8.665585604;-0.107210045;6.141860118;6.404909309;8.451165514
217;-6.323797959;-6.586860524;-8.633220764;-0.074410079;6.1749778;6.438040365;8.484400605
218;-6.300847826;-6.563916906;-8.610327821;-0.051305191;6.198237445;6.461306525;8.50771744
219;-6.284758915;-6.547831126;-8.594266398;-0.035141897;6.214475122;6.477547332;8.523982604
220;-6.273562677;-6.536636372;-8.583083198;-0.023910374;6.225741928;6.488815623;8.535262449
